Active,نشط
Preparation Time (Mins),Preparation Time (Mins)
Previous Orders,الطلبات السابقة
Price,السعر
Primary and secondary order cannot be the same.,Primary و secondary order cannot be the same.
Printed On,Printed On
Printer Name,Printer اسم
Product,منتج
Product Management,إدارة المنتجات
Products,المنتجات
Profit,Profit
Profit Amount,Profit مبلغ
QR Code,QR كود
Qty,Qty
Qty Sold,Qty Sold
Quantity,Quantity
Quantity must be greater than zero.,Quantity must be greater than zero.
Raw Material,مادة خام
Raw Materials,الخامات
Raw materials cannot be sold from POS.,Raw materials cannot be sold from POS.
Raw materials should not have a selling price on the menu.,Raw materials should not have a selling سعر on the menu.
Reason,Reason
Recipe Ingredients (ErpGenex Items),مكونات الوصفة (أصناف ErpGenex)
Recipe Owner,Recipe Owner
Reference No,Reference No
Reports,تقارير
rest-executive-dashboard,rest - تنفيذي - لوحة معلومات
Restaurant,مطعم
Restaurant Floor,مطعم Floor
Restaurant Offer,مطعم Offer
Restaurant Order,مطعم Order
Restaurant Order Item,مطعم Order صنف
Restaurant Payment Entry,مطعم دفعة قيد
Restaurant POS,نقطة البيع
Restaurant Recipe,مطعم Recipe
Restaurant Recipe Item,مطعم Recipe صنف
Restaurant Sales Summary,مطعم مبيعات ملخص
Restaurant Table,مطعم Table
Restaurant Workcenter,مطعم Workcenter
restaurant-analytics-dashboard,مطعم - تحليلات - لوحة معلومات
restaurant-customer-portal,مطعم - عميل - بوابة
restaurant-executive-dashboard,مطعم - تنفيذي - لوحة معلومات
restaurant-finance-desk,مطعم - مالية - desk
restaurant-operations-desk,مطعم - عمليات - desk
Revenue,الإيرادات
Sales,المبيعات
Sales Invoice,فاتورة مبيعات
Save,Save
Saved,تم الحفظ
Search for a product...,بحث عن منتج...
Search products...,بحث في المنتجات...
Select at least one item row to split.,Select at least one صنف row إلى split.
Select Customer,اختيار عميل
Selected order row was not found.,Selected order row was not found.
Service,خدمة
Services,الخدمات
Settings,الإعدادات
Sort Order,Sort Order
Sound,الصوت
Split quantity must be less than existing row quantity.,Split quantity must be less than existing row quantity.
Station Owner,Station Owner
Status,الحالة
Stock / accounting item in ErpGenex linked to this menu item,Stock محاسبة صنف in Erp Genex linked إلى this menu صنف
Subtotal,المجموع الفرعي
Table Code,Table كود
Table Number,Table رقم
Tax Classification Code,Tax Classification كود
Tax Code,كود ضريبي
Template Owner,Template Owner
Template Text,Template Text
Ticket Payload,Ticket Payload
Ticket Reference,Ticket Reference
Ticket Status,Ticket حالة
Tips,Tips
Tips Amount,Tips مبلغ
Total,الإجمالي
Total Amount,إجمالي مبلغ
Total Items,إجمالي Items
Total Qty,إجمالي Qty
Total Sales,إجمالي مبيعات
Tourism Booking,سياحة Booking
Tourism Guest Folio,سياحة Guest Folio
Tourism Service Order,سياحة خدمة Order
Type,النوع
Upload Image,رفع صورة
Valid From,Valid From
Valid To,Valid إلى
Validity,Validity
Value,Value
VAT (15%),الضريبة (15%)
Waste %,Waste%
Waste Analysis,Waste Analysis
Waste Log,Waste سجل
Waste Owner,Waste Owner
Yield,Yield
Zone Code,Zone كود
Zone Name,Zone اسم
